episode_group_id,n,truth,lie,accuracy,balanced_accuracy,f1_lie,auc_roc,pred_lie_rate,tn,fp,fn,tp
AN_EP15,24,12,12,0.7083333333333334,0.7083333333333333,0.7586206896551724,0.7638888888888888,0.7083333333333334,6,6,1,11
AN_EP25,11,3,8,0.7272727272727273,0.7083333333333333,0.8,0.45833333333333337,0.6363636363636364,2,1,2,6
YW_EP55,24,8,16,0.7916666666666666,0.71875,0.8571428571428571,0.875,0.7916666666666666,4,4,1,15
AN_EP21,24,6,18,0.6666666666666666,0.7222222222222223,0.7333333333333333,0.6944444444444446,0.5,5,1,7,11
AN_EP16,26,14,12,0.7307692307692307,0.7380952380952381,0.7407407407407407,0.7083333333333333,0.5769230769230769,9,5,2,10
YW_EP53,27,14,13,0.7407407407407407,0.739010989010989,0.72,0.8846153846153846,0.4444444444444444,11,3,4,9
BRI_EP60,24,10,14,0.7083333333333334,0.75,0.6666666666666666,0.8571428571428571,0.2916666666666667,10,0,7,7
LS_EP75,13,3,10,0.6153846153846154,0.75,0.6666666666666666,0.8666666666666667,0.38461538461538464,3,0,5,5
YW_EP45,26,7,19,0.7692307692307693,0.7518796992481203,0.8333333333333334,0.8421052631578948,0.6538461538461539,5,2,4,15
YW_EP48,20,9,11,0.75,0.7727272727272727,0.7058823529411765,0.7272727272727273,0.3,9,0,5,6
LS_EP2,19,8,11,0.7894736842105263,0.8011363636363636,0.8,0.8522727272727273,0.47368421052631576,7,1,3,8
LS_EP76,18,14,4,0.8888888888888888,0.8392857142857143,0.75,0.8214285714285714,0.2222222222222222,13,1,1,3
AN_EP20,16,5,11,0.9375,0.9,0.9565217391304348,0.8727272727272728,0.75,4,1,0,11
AN_EP23,8,8,0,1.0,1.0,0.0,,0.0,8,0,0,0
